AG Part #,SKU,Name,Source,Supplier Part #,Cost per,Order Date,Notes,Utilized,Secondary Source,Supplier Part #
500,,"Trash Can, Rubbermaid - 7 gal",Uline,S-9970,$8.00 ,7/22/2020,,Facilities,,
501,,"Trash Can, Uline - 32 Gallon",Uline,H-3687,$29.00 ,11/22/2021,,Facilities,,
502,,"Trash Can, Uline - 44 Gallon",Uline,H-3688,$46.00 ,1/19/2022,,Facilities,,
503,,"Trash Can, Uline - 55 Gallon",Uline,H-3689,$62.00 ,6/25/2021,,Facilities,,
507,,Tripod Mount,Blackline Precision,Arca Plates,$50.00 ,5/1/2024,,PL1,,
509,,"Tubing, 1/2"" ID, 1/8"" wall clearflex x 100'",Abbott Rubber,8870-4515,$131.00 ,7/5/2023,,Facilities,,
510,,"Tubing/hose, black 20'",,,,,,Facilities,,
511,,"Tubing/hose, red 20'",,,,,,Facilities,,
512,,"Tumbler Fluid, General Purpose VF-77T",C&M Topline,,,,,PL3,,
513,,"Tumbler Media, Gray 5/8 x 1 5/8",C&M Topline,ACC58-118M,$144.73 ,3/8/2024,,PL3,,
514,,"Tumbler Media, Green 1 1/2 x 1",C&M Topline,WG112-1X,$203.45 ,2/23/2024,,PL3,,
167,34040-01 RevB,UH-60 Sensor Nose Mount GS Antenna Cover,AceAero,,,,,PL2,,
508,,"Vacuum Bagging Material, Nylon - WL7400- 36""",Composite Envisions,Z-2014,$2.55 ,9/28/2025,vacuum bagging (high heat),PL2,,
519,,"Vacuum Bagging Material, Nylon - WL7400- 36""",Fiberglass Supply,M13-7879,$5.20 ,3/5/2025,vacuum bagging (medium heat),PL2,,
99,,"Vacuum Bagging Material, stretchlon film",Aircraft Spruce & Specialty,SL200-0015-60,$5.70 ,4/25/2024,vacuum bagging (low/no heat only),PL2,,
522,,Visegrips,Lowes,,,,,PL1,,
523,,"Walkie Talkie Radios, Retevis RT22 ",Amazon,,46.99/4,9/12/2024,,Facilities,,
521,,"Washer, 3/8"" Screw Size, 0.406"" ID, 0.875"" OD 18-8 Stainless Steel ",McMaster,92141A031,$6.15 ,3/18/2025,vertical stabilizer mold,PL2,,
524,,"Washer, 1/2"" Flat / steel / zinc",Fastener Superstore,202172,2.80/lb,4/9/2025,mold closure,"PL1, PL2",,
524a,,"Test Washer, 1/2"" Hardened Steel, Plain",Fastener Superstore,920643,$0.18 ,,1500 piece order,PL1,,
525, ,"Washer, .458 x .26 x .028",McMaster,90618A128,,,Swivel stud & QD spacers,PL1,,
436,,"Washer, .203 x .375",McMaster,90618A119,$12.75 ,10/13/2025,AG integrated rails,PL1,,
527,,"Washer, Steel Split Lock for 1/4"" Socket Head Screws, 0.26"" ID, 0.363"" OD",McMaster,90073A029,$4.79 ,4/5/2024,AG cheek risers,PL1,,
528,,"Washer, electrical-insulating ceramic sleeve",McMaster,92107A458,$17.99/5,3/8/2022,for ovens,Facilities,,
529,,"Washer, MILSPEC 5/8"" cadmium plated",McMaster,95229A600,$8.71/50,1/26/2022,,PL1,,
530,,"Washers, black nylon",Seastrom,5610-547-15-BLK,$0.21 ,3/23/2022,,PL1,,
531,,"Wedges, clear plastic 2.39"" x 3.52""",Amazon,,14.99/4,9/12/2024,,"PL1, PL2",,
333,,"Wing Nut Driver, 1/4"" Hex, 3"" long",Zoro,80942,,7/17/2025,Bandit vertical stabilizer mold assembly,PL2,,
97,,Wire brushes (mini),Amazon,X0022NWF89,$6.99 ,4/30/2025,heat tool cleaners,PL2,,
532,,"Wood Carving Tools, set",Amazon,,$4.59 ,2/2/2022,,PL1,,
534,,"Wing Nut, Steel, 3/8""-16 Thread Size, 5/8"" Base Diameter",McMaster,90876A160,$14.49 ,3/18/2025,vertical stabilizer mold,PL2,,
566,,"Wrench, 3/4"" Standard SAE combination",Zoro,G804078929,$11.99 ,4/1/2025,mold assembly,"PL1, PL2",,
567,,"Wood, Finnish Birch 24"" x 48"" x 5mm",Aircraft Spruce & Specialty,02-20750,$88.90 ,12/4/2024,Bandit wing ribs,PL2,,
535,,"Ziploc Bags, gallon storage",Home Depot,204236317,$26.81/180 bags,1/31/2022,,PL1,,
537,,"Ziploc Bags, red for FG (min. 9"" x 12"")",Amazon,,,1/21/2025,,PL1,,
538,,Zolatone Black,Auto Body Toolmart,1807714,$160.99 ,,,PL1,,
539,,Zolatone Charcoal/Lilith Gray,Auto Body Toolmart,1701096,$160.99 ,,,PL1,,
540,,Zyvax Mold Sealer,Composites One,214309,,11/11/2024,,"PL1, PL2",,
541,,Zyvax Surface Cleaner,Composites One,214312,$57.68 ,3/22/2022,,"PL1, PL2",,
,,,,,,,,,,
R&D,,"Sleeving, clear shrink 12.7"" ",Soller Composites,,,7/9/2024,,PL2,,
R&D,,"Tape, Fiberglass 3"" red",Soller Composites,,$3.29 ,11/14/2024,PL2 finish R&D,PL2,,
R&D,,"Structural Sealant, 3M adhesive ",McMaster,67015A44,$41.83 ,12/9/2024,Bandit Wing R&D,PL2,,
R&D,,"Washer 3/8"" screw size, 1"" OD, .04-.06 thick",McMaster,92141A051,,5/1/2025,,PL2,,
R&D,,Silicone Mold Kit (Mold Max XLS 1 gallon),Reynolds Advanced Materials,27061,$122.44 ,6/20/2025,silicone mold R&D,PL2,,
R&D,,"Metal tube, aluminum, 1/4"" wall, 6"" OD, 2' long",McMaster,9056K756,,6/26/2025,VARTM development,PL2,,
R&D,,"Flow Media, medium .031"" x 42"" green",US Composites,VB-MG42,$5.25 ,6/30/2025,VARTM development,PL2,,
R&D,,"Flow Media, fast  .045"" x 60"" red",US Composites,VB-MR60,$5.95 ,6/30/2025,VARTM development,PL2,,
R&D,,"Release film, 60"" polyester",US Composites,VB-P56150,$5.85 ,6/30/2025,VARTM development,PL2,,
R&D,,"Carbon Fiber Fabric Plain Weave 3k 5.7oz/193gsm Hexcel AS4 50""",Composite Envisions,f-375-50,74.88,7/11/2025,VARTM development,PL2,,
R&D,,"Fiberglass E-Glass 4 Harness Satin Weave 3.16oz/107gsm HexcelStyle 120 F3 Finish 50""",Composite Envisions,F1625-50,$61.15 ,7/11/2025,VARTM development,PL2,,
R&D,,"EnkaFusion CX-1000 Flow Medium Spacer 2""",Composite Envisions,1795-2,$29.85 ,7/11/2025,VARTM development,PL2,,
R&D,,"Silicone Sealant, Dow Corning 733, white",McMaster,7681A2,$9.68 ,7/31/2025,VARTM development,PL2,,
R&D,,"Tubing, Firm Polyurethane for Air and Water 1/4"" ID, 3/8"" OD, 25'",McMaster,5648K71,$1.31 ,7/31/2025,VARTM development,PL2,,
R&D,,"End Mill, 1"", 60° Chamfer Angle, dovetail uncoated",McMaster,8149N37,$71.25 ,7/31/2025,lathe fixture for wrapping,PL2,,
R&D,,"T-Slotted Framing Rail, Single Four Slot, Smooth, Silver, 1.5"" x 1.5"" x 3'",McMaster,4658N41,$27.58 ,7/29/2025,VARTM development,PL2,,
R&D,,"Ball Bearing, Shielded, for 1/2"" shaft diameter",McMaster,60355K291,$8.04 ,7/29/2025,lathe fixture for wrapping,PL2,,
R&D,,"Rod, 4.5"" threaded, 1/2""-13",McMaster,95412A730,$4.90 ,7/29/2025,lathe fixture for wrapping,PL2,,
R&D,,"Sleeve Bearing, oil embedded 841 bronze, 1/2"" diameter for 5/8"" housing ID, 5/16"" long",McMaster,6391K736,$1.78 ,7/29/2025,lathe fixture for wrapping,PL2,,
R&D,,"Hole Punch, hammer driven 3/4""",McMaster,3424A51,$27.58 ,7/29/2025,VARTM development,PL2,,
R&D,,"T-Slotted Framing Rail, Single Four Slot, Smooth, Silver, 1.5"" x 1.5"" x 2'",McMaster,4658N41,$18.38 ,7/29/2025,VARTM development,PL2,,
R&D,,"T-Slotted Framing bracket, silver corner for 1.5"" high rail",McMaster,47065T271,$13.34 ,7/29/2025,VARTM development,PL2,,
R&D,,"O-Rings, 1/4"" x 6.75"" x 7.25"", high temp, silicone",https://www.mcmaster.com/9396K379/,9396K379,$8.13 ,7/8/2025,VARTM development,PL2,,
R&D,,"Vacuum bagging sheet, silicone 18"" x 25.5""",Smartech,,$271.00 ,7/16/2025,VARTM development,PL2,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
505,,"Carbon Fiber, SE140(BL)/RC660T/1270/40+-3%/POPA, thick",Gurit,PA13-8058,69.83,,,PL1,,
506,,"Carbon Fiber, SE140(BL)/RC200T/1270/46+-3%/POPA, thin",Gurit,PA13-8059,45.79,,,PL1,,
,,,,,,,,,,
515,,,,,,,,,,
516,,,,,,,,,,
561, ,,,,,,,,,
564,,,,,,,,,,
594,,,,,,,,,,
